,datetime,solar_best_mw,solar_source,source,geo_name,geo_id
190,2021-01-08T22:00:00.000,0,Forecast,best_solar,Península,8741
191,2021-01-08T23:00:00.000,0,Forecast,best_solar,Península,8741
192,2021-01-09T00:00:00.000,0,Forecast,best_solar,Península,8741
193,2021-01-09T01:00:00.000,0,Forecast,best_solar,Península,8741
194,2021-01-09T02:00:00.000,0,Forecast,best_solar,Península,8741
195,2021-01-09T03:00:00.000,0,Forecast,best_solar,Península,8741
196,2021-01-09T04:00:00.000,0,Forecast,best_solar,Península,8741
197,2021-01-09T05:00:00.000,0,Forecast,best_solar,Península,8741
198,2021-01-09T06:00:00.000,0,Forecast,best_solar,Península,8741
199,2021-01-09T07:00:00.000,0.9,P48,best_solar,Península,8741
200,2021-01-09T08:00:00.000,25.9,P48,best_solar,Península,8741
201,2021-01-09T09:00:00.000,361.5,P48,best_solar,Península,8741
202,2021-01-09T10:00:00.000,1066.1,P48,best_solar,Península,8741
203,2021-01-09T11:00:00.000,1783,P48,best_solar,Península,8741
204,2021-01-09T12:00:00.000,2214.8,P48,best_solar,Península,8741
205,2021-01-09T13:00:00.000,2320.4,P48,best_solar,Península,8741
206,2021-01-09T14:00:00.000,2188.1,P48,best_solar,Península,8741
207,2021-01-09T15:00:00.000,1944.3,P48,best_solar,Península,8741
208,2021-01-09T16:00:00.000,1250.4,P48,best_solar,Península,8741
209,2021-01-09T17:00:00.000,407.8,P48,best_solar,Península,8741
210,2021-01-09T18:00:00.000,25.5,P48,best_solar,Península,8741
211,2021-01-09T19:00:00.000,3.7,P48,best_solar,Península,8741
212,2021-01-09T20:00:00.000,3.8,P48,best_solar,Península,8741
213,2021-01-09T21:00:00.000,3.8,P48,best_solar,Península,8741
214,2021-01-09T22:00:00.000,0.1,P48,best_solar,Península,8741
215,2021-01-09T23:00:00.000,0,Forecast,best_solar,Península,8741
216,2021-01-10T00:00:00.000,0,Forecast,best_solar,Península,8741
217,2021-01-10T01:00:00.000,0.1,P48,best_solar,Península,8741
218,2021-01-10T02:00:00.000,0.2,P48,best_solar,Península,8741
219,2021-01-10T03:00:00.000,0,Forecast,best_solar,Península,8741
220,2021-01-10T04:00:00.000,46.8,P48,best_solar,Península,8741
221,2021-01-10T05:00:00.000,0,Forecast,best_solar,Península,8741
222,2021-01-10T06:00:00.000,6.8,P48,best_solar,Península,8741
223,2021-01-10T07:00:00.000,8.9,P48,best_solar,Península,8741
224,2021-01-10T08:00:00.000,67.3,P48,best_solar,Península,8741
225,2021-01-10T09:00:00.000,834.3,P48,best_solar,Península,8741
226,2021-01-10T10:00:00.000,2203.2,P48,best_solar,Península,8741
227,2021-01-10T11:00:00.000,3116.7,P48,best_solar,Península,8741
228,2021-01-10T12:00:00.000,3131.2,P48,best_solar,Península,8741
229,2021-01-10T13:00:00.000,3204.9,P48,best_solar,Península,8741
230,2021-01-10T14:00:00.000,3206.1,P48,best_solar,Península,8741
231,2021-01-10T15:00:00.000,2785,P48,best_solar,Península,8741
232,2021-01-10T16:00:00.000,1825.9,P48,best_solar,Península,8741
233,2021-01-10T17:00:00.000,599.3,P48,best_solar,Península,8741
234,2021-01-10T18:00:00.000,24.6,P48,best_solar,Península,8741
235,2021-01-10T19:00:00.000,0.8,P48,best_solar,Península,8741
236,2021-01-10T20:00:00.000,3.8,P48,best_solar,Península,8741
237,2021-01-10T21:00:00.000,3.7,P48,best_solar,Península,8741
238,2021-01-10T22:00:00.000,0.1,P48,best_solar,Península,8741
239,2021-01-10T23:00:00.000,0.1,P48,best_solar,Península,8741
240,2021-01-11T00:00:00.000,0,Forecast,best_solar,Península,8741
241,2021-01-11T01:00:00.000,0,Forecast,best_solar,Península,8741
242,2021-01-11T02:00:00.000,0,Forecast,best_solar,Península,8741
243,2021-01-11T03:00:00.000,0,Forecast,best_solar,Península,8741
244,2021-01-11T04:00:00.000,0,Forecast,best_solar,Península,8741
245,2021-01-11T05:00:00.000,0,Forecast,best_solar,Península,8741
246,2021-01-11T06:00:00.000,16.9,P48,best_solar,Península,8741
247,2021-01-11T07:00:00.000,4.6,P48,best_solar,Península,8741
248,2021-01-11T08:00:00.000,99.6,P48,best_solar,Península,8741
249,2021-01-11T09:00:00.000,1303.1,P48,best_solar,Península,8741
250,2021-01-11T10:00:00.000,3242.4,P48,best_solar,Península,8741
251,2021-01-11T11:00:00.000,4392.8,P48,best_solar,Península,8741
252,2021-01-11T12:00:00.000,4964.1,P48,best_solar,Península,8741
253,2021-01-11T13:00:00.000,5094.9,P48,best_solar,Península,8741
254,2021-01-11T14:00:00.000,4995,P48,best_solar,Península,8741
255,2021-01-11T15:00:00.000,4398.8,P48,best_solar,Península,8741
256,2021-01-11T16:00:00.000,2842.2,P48,best_solar,Península,8741
257,2021-01-11T17:00:00.000,967.2,P48,best_solar,Península,8741
258,2021-01-11T18:00:00.000,65.1,P48,best_solar,Península,8741
